"id","account","purchased_quantity","item_name","item_quantity","item_unit","item_price","category"
1518144480,"anyuser@gmail.com",2,"Boneless Center Cut Pork Chops",1,"lb",6.99,"meat"
1518144481,"anyuser@gmail.com",3,"Cucumber",1,"medium",0.5,"fruits-vegetables"
1518144482,"anyuser@gmail.com",1,"Hand-Trimmed Boneless, Skinless Chicken",2,"lb",11.02,"meat"
1518144535,"anyuser@gmail.com",3,"Fresh Atlantic Salmon",12,"oz",6.74,"seafood"
1518144536,"anyuser@gmail.com",1,"Yellow Onion",1,"large",1.24,"fruits-vegetables"
1518144537,"anyuser@gmail.com",1,"Garlic",1,"bulb",0.5,"fruits-vegetables"
1518144538,"anyuser@gmail.com",3,"Lean Ground Beef",1,"lb",6.99,"meat"
1518144539,"anyuser@gmail.com",2,"Crispy Tenders",9,"oz",4.49,"meat"
1518144540,"anyuser@gmail.com",3,"Original Breakfast Sausage Links",12,"oz",3.69,"meat"
1518144541,"anyuser@gmail.com",3,"Hass Avocado",1,"large",1.29,"fruits-vegetables"
1518144561,"anyuser@gmail.com",1,"Fresh Atlantic Salmon",12,"oz",6.74,"seafood"
1518144562,"anyuser@gmail.com",1,"Red Raspberries",6,"oz",2.99,"fruits-vegetables"
